,sentence_text,tokens,profession,g,profession_first_index,g_first_index,predicted gender,stereotype,distance,num_of_pronouns,corpus,data_index
7076,"Karen Franklin stated that she believes the concept is largely the result of the Centre for Addiction and Mental Health , although CAMH scientist and pedophilia researcher James Cantor challenged her factual accuracy , citing the existence of the concept in the ICD-10 , the use of the word in 100 scholarly texts from a variety of disciplines and time periods , and the existence of 32 peer reviewed papers researching the concept .","['Karen', 'Franklin', 'stated', 'that', 'she', 'believes', 'the', 'concept', 'is', 'largely', 'the', 'result', 'of', 'the', 'Centre', 'for', 'Addiction', 'and', 'Mental', 'Health', ',', 'although', 'CAMH', 'scientist', 'and', 'pedophilia', 'researcher', 'James', 'Cantor', 'challenged', 'her', 'factual', 'accuracy', ',', 'citing', 'the', 'existence', 'of', 'the', 'concept', 'in', 'the', 'ICD-10', ',', 'the', 'use', 'of', 'the', 'word', 'in', '100', 'scholarly', 'texts', 'from', 'a', 'variety', 'of', 'disciplines', 'and', 'time', 'periods', ',', 'and', 'the', 'existence', 'of', '32', 'peer', 'reviewed', 'papers', 'researching', 'the', 'concept', '.']",scientist,her,23,30,female,-1,7,2,wikipedia,21
7077,"In January 2013 , escorted by Chevalier Paul , she took part in the ill-fated operation to retrieve Denis Allex , a DGSE officer held hostage in Bulo Marer .","['In', 'January', '2013', ',', 'escorted', 'by', 'Chevalier', 'Paul', ',', 'she', 'took', 'part', 'in', 'the', 'ill', '-', 'fated', 'operation', 'to', 'retrieve', 'Denis', 'Allex', ',', 'a', 'DGSE', 'officer', 'held', 'hostage', 'in', 'Bulo', 'Marer', '.']",officer,she,25,9,female,-1,14,1,wikipedia,4
7078,Kemp has been awarded the Kenneth Myer Medallion for the Performing Arts and Green Room Awards for her work as a director and for her collaboration in dance .,"['Kemp', 'has', 'been', 'awarded', 'the', 'Kenneth', 'Myer', 'Medallion', 'for', 'the', 'Performing', 'Arts', 'and', 'Green', 'Room', 'Awards', 'for', 'her', 'work', 'as', 'a', 'director', 'and', 'for', 'her', 'collaboration', 'in', 'dance', '.']",director,her,21,24,female,-1,3,2,wikipedia,20
7079,Instead Vidkun 's lawyer read several statements from her in his defense .,"['Instead', 'Vidkun', ""'s"", 'lawyer', 'read', 'several', 'statements', 'from', 'her', 'in', 'his', 'defense', '.']",lawyer,her,3,8,female,-1,5,2,wikipedia,21
7080,"After 3 days of the cruise , the lab technician and her husband self-quarantined .","['After', '3', 'days', 'of', 'the', 'cruise', ',', 'the', 'lab', 'technician', 'and', 'her', 'husband', 'self', '-', 'quarantined', '.']",technician,her,9,11,female,-1,2,1,covid19,20
7081,"Her doctor attributed her death to a chronic kidney infection , a complication caused by her paralysis , and bronchial pneumonia .","['Her', 'doctor', 'attributed', 'her', 'death', 'to', 'a', 'chronic', 'kidney', 'infection', ',', 'a', 'complication', 'caused', 'by', 'her', 'paralysis', ',', 'and', 'bronchial', 'pneumonia', '.']",doctor,her,1,3,female,-1,2,3,wikipedia,21
7082,"A Swedish board of adjudicators found Haglund innocent of charges ( she alleged her coach had given her two pills he called ' vitamins ' ) but turned over their decision for further consideration to an international track and field tribunal assembled in Kingston , Jamaica , in 1982 .","['A', 'Swedish', 'board', 'of', 'adjudicators', 'found', 'Haglund', 'innocent', 'of', 'charges', '(', 'she', 'alleged', 'her', 'coach', 'had', 'given', 'her', 'two', 'pills', 'he', 'called', ""'"", 'vitamins', ""'"", ')', 'but', 'turned', 'over', 'their', 'decision', 'for', 'further', 'consideration', 'to', 'an', 'international', 'track', 'and', 'field', 'tribunal', 'assembled', 'in', 'Kingston', ',', 'Jamaica', ',', 'in', '1982', '.']",coach,her,14,17,female,-1,3,4,wikipedia,21
7083,"Assisted at first by a military doctor and her 17-year - old daughter Irène , Curie directed the installation of 20 mobile radiological vehicles and another 200 radiological units at field hospitals in the first year of the war .","['Assisted', 'at', 'first', 'by', 'a', 'military', 'doctor', 'and', 'her', '17', '-', 'year', '-', 'old', 'daughter', 'Irène', ',', 'Curie', 'directed', 'the', 'installation', 'of', '20', 'mobile', 'radiological', 'vehicles', 'and', 'another', '200', 'radiological', 'units', 'at', 'field', 'hospitals', 'in', 'the', 'first', 'year', 'of', 'the', 'war', '.']",doctor,her,6,8,female,-1,2,1,wikipedia,20
7084,"In her review of "" The Crisis of Marxist Ideology in Eastern Europe "" , political analyst Juliana Geran Pilon calls Tismăneanu 's book "" the best analysis of Marxist philosophy since Leszek Kołakowski 's monumental trilogy "" Main Currents of Marxism "" .","['In', 'her', 'review', 'of', '""', 'The', 'Crisis', 'of', 'Marxist', 'Ideology', 'in', 'Eastern', 'Europe', '""', ',', 'political', 'analyst', 'Juliana', 'Geran', 'Pilon', 'calls', 'Tismăneanu', ""'s"", 'book', '""', 'the', 'best', 'analysis', 'of', 'Marxist', 'philosophy', 'since', 'Leszek', 'Kołakowski', ""'s"", 'monumental', 'trilogy', '""', 'Main', 'Currents', 'of', 'Marxism', '""', '.']",analyst,her,16,1,female,-1,15,1,wikipedia,15
7085,"The first president of the World Society of Victimology , Prof. Hans Joachim Schneider , has also noted her contribution to the field .","['The', 'first', 'president', 'of', 'the', 'World', 'Society', 'of', 'Victimology', ',', 'Prof.', 'Hans', 'Joachim', 'Schneider', ',', 'has', 'also', 'noted', 'her', 'contribution', 'to', 'the', 'field', '.']",president,her,2,18,female,-1,16,1,wikipedia,21
7086,"A truck driver named Alvaro ( Burt Lancaster ) pulls her off the priest , but she tears Alvaro 's shirtfront in her attack .","['A', 'truck', 'driver', 'named', 'Alvaro', '(', 'Burt', 'Lancaster', ')', 'pulls', 'her', 'off', 'the', 'priest', ',', 'but', 'she', 'tears', 'Alvaro', ""'s"", 'shirtfront', 'in', 'her', 'attack', '.']",driver,she,2,16,female,-1,14,3,wikipedia,11
7087,Her mother is a nursing technician and her father is a civil engineer .,"['Her', 'mother', 'is', 'a', 'nursing', 'technician', 'and', 'her', 'father', 'is', 'a', 'civil', 'engineer', '.']",technician,her,5,7,female,-1,2,2,wikipedia,20
7088,"Prior to finding a permanent home for this child , the Department of Community Services ( DOCS ) child protection worker , John Borovnik , made further investigations that led to finding that the child born in 1999 was in fact not Lane 's first child and that she had given birth in 1996 at Auburn Hospital .","['Prior', 'to', 'finding', 'a', 'permanent', 'home', 'for', 'this', 'child', ',', 'the', 'Department', 'of', 'Community', 'Services', '(', 'DOCS', ')', 'child', 'protection', 'worker', ',', 'John', 'Borovnik', ',', 'made', 'further', 'investigations', 'that', 'led', 'to', 'finding', 'that', 'the', 'child', 'born', 'in', '1999', 'was', 'in', 'fact', 'not', 'Lane', ""'s"", 'first', 'child', 'and', 'that', 'she', 'had', 'given', 'birth', 'in', '1996', 'at', 'Auburn', 'Hospital', '.']",child,she,34,48,female,-1,14,1,wikipedia,11
7089,"Maxwell served as a senior vice president , her second husband , David Hayden "" "" , was CEO and her sister Christine was publisher .","['Maxwell', 'served', 'as', 'a', 'senior', 'vice', 'president', ',', 'her', 'second', 'husband', ',', 'David', 'Hayden', '""', '""', ',', 'was', 'CEO', 'and', 'her', 'sister', 'Christine', 'was', 'publisher', '.']",president,her,6,8,female,-1,2,2,wikipedia,20
7090,She started Kickboxing in 1992 as a hobby and only after three months her trainer suggested that she should enter her first competition .,"['She', 'started', 'Kickboxing', 'in', '1992', 'as', 'a', 'hobby', 'and', 'only', 'after', 'three', 'months', 'her', 'trainer', 'suggested', 'that', 'she', 'should', 'enter', 'her', 'first', 'competition', '.']",trainer,she,14,17,female,-1,3,4,wikipedia,4
7091,"We describe the familial case of a 2-year-old child and her 32-year-old mother who , having suffered from tonic-clonic seizures since infancy , had both been diagnosed with epilepsy and treated with sodium valproate .","['We', 'describe', 'the', 'familial', 'case', 'of', 'a', '2', '-', 'year', '-', 'old', 'child', 'and', 'her', '32', '-', 'year', '-', 'old', 'mother', 'who', ',', 'having', 'suffered', 'from', 'tonic', '-', 'clonic', 'seizures', 'since', 'infancy', ',', 'had', 'both', 'been', 'diagnosed', 'with', 'epilepsy', 'and', 'treated', 'with', 'sodium', 'valproate', '.']",child,her,12,14,female,-1,2,1,pubmed,20
7092,"Waleed was the lawyer of both Samar Badawi , and her brother Raif Badawi .","['Waleed', 'was', 'the', 'lawyer', 'of', 'both', 'Samar', 'Badawi', ',', 'and', 'her', 'brother', 'Raif', 'Badawi', '.']",lawyer,her,3,10,female,-1,7,1,wikipedia,20
7093,"During her frequent performances , her musical director was Mexican composer and pianist Armando Manzanero .","['During', 'her', 'frequent', 'performances', ',', 'her', 'musical', 'director', 'was', 'Mexican', 'composer', 'and', 'pianist', 'Armando', 'Manzanero', '.']",director,her,7,1,female,-1,6,2,wikipedia,14
7094,"After discovering the child 's true paternity , J.R. decides to track Cally down and finds that she has created a new life for herself in Florida with their child and her new boyfriend .","['After', 'discovering', 'the', 'child', ""'s"", 'true', 'paternity', ',', 'J.R.', 'decides', 'to', 'track', 'Cally', 'down', 'and', 'finds', 'that', 'she', 'has', 'created', 'a', 'new', 'life', 'for', 'herself', 'in', 'Florida', 'with', 'their', 'child', 'and', 'her', 'new', 'boyfriend', '.']",child,her,29,31,female,-1,2,3,wikipedia,20
7095,"Another child , Jane Nash ( 1768–1806 ) , sang in an amateur capacity until her marriage .","['Another', 'child', ',', 'Jane', 'Nash', '(', '1768–1806', ')', ',', 'sang', 'in', 'an', 'amateur', 'capacity', 'until', 'her', 'marriage', '.']",child,her,1,15,female,-1,14,1,wikipedia,14
7096,The professor chooses between her personal belongings and Vince and decides to throw Vince off .,"['The', 'professor', 'chooses', 'between', 'her', 'personal', 'belongings', 'and', 'Vince', 'and', 'decides', 'to', 'throw', 'Vince', 'off', '.']",professor,her,1,4,female,-1,3,1,wikipedia,14
7097,In 1985 Murray made major changes to her story by claiming that Robert Kennedy was in the house at some point on Saturday and that `` the doctor '' arrived to help Monroe while she was unconscious but alive .,"['In', '1985', 'Murray', 'made', 'major', 'changes', 'to', 'her', 'story', 'by', 'claiming', 'that', 'Robert', 'Kennedy', 'was', 'in', 'the', 'house', 'at', 'some', 'point', 'on', 'Saturday', 'and', 'that', '`', '`', 'the', 'doctor', ""''"", 'arrived', 'to', 'help', 'Monroe', 'while', 'she', 'was', 'unconscious', 'but', 'alive', '.']",doctor,she,28,35,female,-1,7,2,wikipedia,5
7098,"A multidisciplinary team including gynecologist , surgeon , and urologist performed the surgical cyst excision and she has recovered well without any complications .","['A', 'multidisciplinary', 'team', 'including', 'gynecologist', ',', 'surgeon', ',', 'and', 'urologist', 'performed', 'the', 'surgical', 'cyst', 'excision', 'and', 'she', 'has', 'recovered', 'well', 'without', 'any', 'complications', '.']",surgeon,she,6,16,female,-1,10,1,pubmed,11
7099,"MLV 's school education was in Madras , in a convent , where all was set to pursue a medical career until the great Carnatic musician G. N. Balasubramaniam came into her life .","['MLV', ""'s"", 'school', 'education', 'was', 'in', 'Madras', ',', 'in', 'a', 'convent', ',', 'where', 'all', 'was', 'set', 'to', 'pursue', 'a', 'medical', 'career', 'until', 'the', 'great', 'Carnatic', 'musician', 'G.', 'N.', 'Balasubramaniam', 'came', 'into', 'her', 'life', '.']",musician,her,25,31,female,-1,6,1,wikipedia,15
7100,"This child is often mistaken for her cousin of the same name , Dorothy Louise Gage ( 1883–1889 ) , Helen Leslie ( Gage )","['This', 'child', 'is', 'often', 'mistaken', 'for', 'her', 'cousin', 'of', 'the', 'same', 'name', ',', 'Dorothy', 'Louise', 'Gage', '(', '1883–1889', ')', ',', 'Helen', 'Leslie', '(', 'Gage', ')']",child,her,1,6,female,-1,5,1,wikipedia,1
7101,"Her father , Raymond W. Lewis , Jr. , was an aerospace designer and her mother , Dorothy Borwick Lewis McIntyre a recreation director .","['Her', 'father', ',', 'Raymond', 'W.', 'Lewis', ',', 'Jr.', ',', 'was', 'an', 'aerospace', 'designer', 'and', 'her', 'mother', ',', 'Dorothy', 'Borwick', 'Lewis', 'McIntyre', 'a', 'recreation', 'director', '.']",designer,her,12,14,female,-1,2,2,wikipedia,20
7102,"She was baptized in 2003 , in a small Baroque church of a village priest , who was convinced of her inner conversion .","['She', 'was', 'baptized', 'in', '2003', ',', 'in', 'a', 'small', 'Baroque', 'church', 'of', 'a', 'village', 'priest', ',', 'who', 'was', 'convinced', 'of', 'her', 'inner', 'conversion', '.']",priest,her,14,20,female,-1,6,2,wikipedia,1
7103,discontinuation of the medication may lead to recurrence ; continuation may cause intoxications in the woman and her child and congenital anomalies in the child .,"['discontinuation', 'of', 'the', 'medication', 'may', 'lead', 'to', 'recurrence', ';', 'continuation', 'may', 'cause', 'intoxications', 'in', 'the', 'woman', 'and', 'her', 'child', 'and', 'congenital', 'anomalies', 'in', 'the', 'child', '.']",child,her,18,17,female,-1,1,1,pubmed,20
7104,"In 2002 , she had a cameo as an Anchorwoman in the Swiss motion picture Birdseye , played a reporter in Fever Pitch .","['In', '2002', ',', 'she', 'had', 'a', 'cameo', 'as', 'an', 'Anchorwoman', 'in', 'the', 'Swiss', 'motion', 'picture', 'Birdseye', ',', 'played', 'a', 'reporter', 'in', 'Fever', 'Pitch', '.']",reporter,she,19,3,female,-1,16,1,wikipedia,4
7105,A del(11 ) ( q24.2 ) was ascertained in a 2-year-old child and subsequently in her 20-year-old mother .,"['A', 'del(11', ')', '(', 'q24.2', ')', 'was', 'ascertained', 'in', 'a', '2', '-', 'year', '-', 'old', 'child', 'and', 'subsequently', 'in', 'her', '20', '-', 'year', '-', 'old', 'mother', '.']",child,her,15,19,female,-1,4,1,pubmed,20
7106,"The song was entirely written by the singer herself and produced by Albanian producers Big Bang , Cricket and DJ Toton .","['The', 'song', 'was', 'entirely', 'written', 'by', 'the', 'singer', 'herself', 'and', 'produced', 'by', 'Albanian', 'producers', 'Big', 'Bang', ',', 'Cricket', 'and', 'DJ', 'Toton', '.']",singer,herself,7,8,female,-1,1,1,wikipedia,10
7107,"Due to the numerous allegations featured in the song , media linked its subject matter to the singer and her husband , Jay - Z. Upon the release of "" Lemonade "" , "" Sorry "" was deemed the most unapologetic song on the album ; critics praised the self - empowering attitude adopted by the singer and praised its catchy lines .","['Due', 'to', 'the', 'numerous', 'allegations', 'featured', 'in', 'the', 'song', ',', 'media', 'linked', 'its', 'subject', 'matter', 'to', 'the', 'singer', 'and', 'her', 'husband', ',', 'Jay', '-', 'Z.', 'Upon', 'the', 'release', 'of', '""', 'Lemonade', '""', ',', '""', 'Sorry', '""', 'was', 'deemed', 'the', 'most', 'unapologetic', 'song', 'on', 'the', 'album', ';', 'critics', 'praised', 'the', 'self', '-', 'empowering', 'attitude', 'adopted', 'by', 'the', 'singer', 'and', 'praised', 'its', 'catchy', 'lines', '.']",singer,her,17,19,female,-1,2,1,wikipedia,20
7108,"Again , hundreds of local people were in the tent , shouting and taking sides like a football crowd , as the old man and the young woman battled it out and the president of the court gave her judgement .","['Again', ',', 'hundreds', 'of', 'local', 'people', 'were', 'in', 'the', 'tent', ',', 'shouting', 'and', 'taking', 'sides', 'like', 'a', 'football', 'crowd', ',', 'as', 'the', 'old', 'man', 'and', 'the', 'young', 'woman', 'battled', 'it', 'out', 'and', 'the', 'president', 'of', 'the', 'court', 'gave', 'her', 'judgement', '.']",president,her,33,38,female,-1,5,1,wikipedia,21
7109,"Sallie and Duncan , "" the tall blonde athlete "" were introduced by her brother at an "" Apple Blossom Ball "" in 1890 .","['Sallie', 'and', 'Duncan', ',', '""', 'the', 'tall', 'blonde', 'athlete', '""', 'were', 'introduced', 'by', 'her', 'brother', 'at', 'an', '""', 'Apple', 'Blossom', 'Ball', '""', 'in', '1890', '.']",athlete,her,8,13,female,-1,5,1,wikipedia,1
7110,"Superstitious , she also insisted on dressing room 55 because that was her lucky number and required that Hubert de Givenchy , her long - time designer , be given a credit in the film for her perfume .","['Superstitious', ',', 'she', 'also', 'insisted', 'on', 'dressing', 'room', '55', 'because', 'that', 'was', 'her', 'lucky', 'number', 'and', 'required', 'that', 'Hubert', 'de', 'Givenchy', ',', 'her', 'long', '-', 'time', 'designer', ',', 'be', 'given', 'a', 'credit', 'in', 'the', 'film', 'for', 'her', 'perfume', '.']",designer,her,26,36,female,-1,10,4,wikipedia,1
7111,"In 1992 , Mercury became an independent artist , which means she would start to produce her own albums and sell them to record companies -LRB- since then , she has founded a production company called Canto da Cidade and P a ginas do Mar , a publishing house -RRB- .","['In', '1992', ',', 'Mercury', 'became', 'an', 'independent', 'artist', ',', 'which', 'means', 'she', 'would', 'start', 'to', 'produce', 'her', 'own', 'albums', 'and', 'sell', 'them', 'to', 'record', 'companies', '-LRB-', 'since', 'then', ',', 'she', 'has', 'founded', 'a', 'production', 'company', 'called', 'Canto', 'da', 'Cidade', 'and', 'P', 'a', 'ginas', 'do', 'Mar', ',', 'a', 'publishing', 'house', '-RRB-', '.']",artist,she,7,11,female,-1,4,3,wikipedia,4
7112,"The person most knowledgeable ( PMK ) , usually the mother , provided information about her child , herself , and her family .","['The', 'person', 'most', 'knowledgeable', '(', 'PMK', ')', ',', 'usually', 'the', 'mother', ',', 'provided', 'information', 'about', 'her', 'child', ',', 'herself', ',', 'and', 'her', 'family', '.']",child,her,16,21,female,-1,5,3,pubmed,20
7113,A girl child was going with her father by car .,"['A', 'girl', 'child', 'was', 'going', 'with', 'her', 'father', 'by', 'car', '.']",child,her,2,6,female,-1,4,1,wikipedia,14
7114,Melby garnered accolades and awards ( for her role as producer and her lead performance ) from a variety of film festivals in the United States and abroad .,"['Melby', 'garnered', 'accolades', 'and', 'awards', '(', 'for', 'her', 'role', 'as', 'producer', 'and', 'her', 'lead', 'performance', ')', 'from', 'a', 'variety', 'of', 'film', 'festivals', 'in', 'the', 'United', 'States', 'and', 'abroad', '.']",producer,her,10,12,female,-1,2,2,wikipedia,20
7115,"She had the doctor reverse Homer ' s stomach stapling , since she loves him no matter how he looks .","['She', 'had', 'the', 'doctor', 'reverse', 'Homer', ""'"", 's', 'stomach', 'stapling', ',', 'since', 'she', 'loves', 'him', 'no', 'matter', 'how', 'he', 'looks', '.']",doctor,she,3,12,female,-1,9,4,wikipedia,2
7116,She completes the scene perfectly and the director falls at her feet in happiness as they have finally completed a scene without any problems .,"['She', 'completes', 'the', 'scene', 'perfectly', 'and', 'the', 'director', 'falls', 'at', 'her', 'feet', 'in', 'happiness', 'as', 'they', 'have', 'finally', 'completed', 'a', 'scene', 'without', 'any', 'problems', '.']",director,her,7,10,female,-1,3,2,wikipedia,14
7117,"Elizabeth believes she has gone into labor , but at the hospital , the doctor tells her she was having Braxton Hicks contractions .","['Elizabeth', 'believes', 'she', 'has', 'gone', 'into', 'labor', ',', 'but', 'at', 'the', 'hospital', ',', 'the', 'doctor', 'tells', 'her', 'she', 'was', 'having', 'Braxton', 'Hicks', 'contractions', '.']",doctor,she,14,17,female,-1,3,3,wikipedia,4
7118,"In May 2013 , Angelina Jolie , an internationally recognized actress , director , and author , wrote an op-ed for the New York Times disclosing her decision to undergo a prophylactic double mastectomy to reduce her risk of breast cancer after learning that she carried the BRCA1 gene mutation .","['In', 'May', '2013', ',', 'Angelina', 'Jolie', ',', 'an', 'internationally', 'recognized', 'actress', ',', 'director', ',', 'and', 'author', ',', 'wrote', 'an', 'op', '-', 'ed', 'for', 'the', 'New', 'York', 'Times', 'disclosing', 'her', 'decision', 'to', 'undergo', 'a', 'prophylactic', 'double', 'mastectomy', 'to', 'reduce', 'her', 'risk', 'of', 'breast', 'cancer', 'after', 'learning', 'that', 'she', 'carried', 'the', 'BRCA1', 'gene', 'mutation', '.']",director,her,12,28,female,-1,14,3,pubmed,17
7119,Critics alleged that Munro was in a conflict of interest when she introduced weaker legislation since she was a dog breeder herself .,"['Critics', 'alleged', 'that', 'Munro', 'was', 'in', 'a', 'conflict', 'of', 'interest', 'when', 'she', 'introduced', 'weaker', 'legislation', 'since', 'she', 'was', 'a', 'dog', 'breeder', 'herself', '.']",breeder,herself,20,21,female,-1,1,3,wikipedia,10
7120,"Former bar manager of Cheers , Rebecca Howe , was dumped by her plumber husband Don Santry , who became rich after a successful plumbing invention , and then she became despondent and settled her life back at the bar without intent to work there again .","['Former', 'bar', 'manager', 'of', 'Cheers', ',', 'Rebecca', 'Howe', ',', 'was', 'dumped', 'by', 'her', 'plumber', 'husband', 'Don', 'Santry', ',', 'who', 'became', 'rich', 'after', 'a', 'successful', 'plumbing', 'invention', ',', 'and', 'then', 'she', 'became', 'despondent', 'and', 'settled', 'her', 'life', 'back', 'at', 'the', 'bar', 'without', 'intent', 'to', 'work', 'there', 'again', '.']",manager,her,2,12,female,-1,10,3,wikipedia,1
7121,"While she is away , Hilda , who dreams of being an opera singer herself , plays Sir Julian 's new song .","['While', 'she', 'is', 'away', ',', 'Hilda', ',', 'who', 'dreams', 'of', 'being', 'an', 'opera', 'singer', 'herself', ',', 'plays', 'Sir', 'Julian', ""'s"", 'new', 'song', '.']",singer,herself,13,14,female,-1,1,2,wikipedia,10
7122,"In December 2015 , singer Adele released her album 25 on CD and digital download , but not on streaming platforms ( Sisario 2015 ) ; it was eventually made available ( seven months later ) in that format on Spotify and other streaming platforms .","['In', 'December', '2015', ',', 'singer', 'Adele', 'released', 'her', 'album', '25', 'on', 'CD', 'and', 'digital', 'download', ',', 'but', 'not', 'on', 'streaming', 'platforms', '(', 'Sisario', '2015', ')', ';', 'it', 'was', 'eventually', 'made', 'available', '(', 'seven', 'months', 'later', ')', 'in', 'that', 'format', 'on', 'Spotify', 'and', 'other', 'streaming', 'platforms', '.']",singer,her,4,7,female,-1,3,1,covid19,17
7123,"In response , the singer expresses her love for Bizu , but is disappointed about her having a relationship with a man .","['In', 'response', ',', 'the', 'singer', 'expresses', 'her', 'love', 'for', 'Bizu', ',', 'but', 'is', 'disappointed', 'about', 'her', 'having', 'a', 'relationship', 'with', 'a', 'man', '.']",singer,her,4,6,female,-1,2,2,wikipedia,21
7124,"Arthur Gilpin , the African - American janitor who discovered the body , is arrested and charged with her murder .","['Arthur', 'Gilpin', ',', 'the', 'African', '-', 'American', 'janitor', 'who', 'discovered', 'the', 'body', ',', 'is', 'arrested', 'and', 'charged', 'with', 'her', 'murder', '.']",janitor,her,7,18,female,-1,11,1,wikipedia,1
7125,"In "" Mr. Scratch , "" JJ tells Hotch that her worst fear as a child was being separated from her parents .","['In', '""', 'Mr.', 'Scratch', ',', '""', 'JJ', 'tells', 'Hotch', 'that', 'her', 'worst', 'fear', 'as', 'a', 'child', 'was', 'being', 'separated', 'from', 'her', 'parents', '.']",child,her,15,20,female,-1,5,2,wikipedia,1
7126,"He also starred in comedy "" Because I Love You "" ( "" Parce Que Je T'Aime "" , 1929 ) as a professor who marries his secretary then loses her affections to his godson .","['He', 'also', 'starred', 'in', 'comedy', '""', 'Because', 'I', 'Love', 'You', '""', '(', '""', 'Parce', 'Que', 'Je', ""T'Aime"", '""', ',', '1929', ')', 'as', 'a', 'professor', 'who', 'marries', 'his', 'secretary', 'then', 'loses', 'her', 'affections', 'to', 'his', 'godson', '.']",professor,her,23,30,female,-1,7,4,wikipedia,21
7127,"Another Mexican singer , Yuridia , recorded this in her 2005 album "" La Voz de un Ángel "" .","['Another', 'Mexican', 'singer', ',', 'Yuridia', ',', 'recorded', 'this', 'in', 'her', '2005', 'album', '""', 'La', 'Voz', 'de', 'un', 'Ángel', '""', '.']",singer,her,2,9,female,-1,7,1,wikipedia,14
7128,"Endorsed by the Canadian Group of Painters , the artist often held exhibitions in her home .","['Endorsed', 'by', 'the', 'Canadian', 'Group', 'of', 'Painters', ',', 'the', 'artist', 'often', 'held', 'exhibitions', 'in', 'her', 'home', '.']",artist,her,9,14,female,-1,5,1,wikipedia,14
7129,"However , at the end of the episode , the Director calls and tells her that she never really had a choice about the assignment , and she is extremely unhappy about it .","['However', ',', 'at', 'the', 'end', 'of', 'the', 'episode', ',', 'the', 'Director', 'calls', 'and', 'tells', 'her', 'that', 'she', 'never', 'really', 'had', 'a', 'choice', 'about', 'the', 'assignment', ',', 'and', 'she', 'is', 'extremely', 'unhappy', 'about', 'it', '.']",Director,she,10,27,female,-1,17,3,wikipedia,11
7130,"Another North Carolina reporter , writing some weeks after the launch , described the ship "" with all her sails and colors flying "" as "" one of the most cheering nautical sights ever shown in this region "" .","['Another', 'North', 'Carolina', 'reporter', ',', 'writing', 'some', 'weeks', 'after', 'the', 'launch', ',', 'described', 'the', 'ship', '""', 'with', 'all', 'her', 'sails', 'and', 'colors', 'flying', '""', 'as', '""', 'one', 'of', 'the', 'most', 'cheering', 'nautical', 'sights', 'ever', 'shown', 'in', 'this', 'region', '""', '.']",reporter,her,3,18,female,-1,15,1,wikipedia,14
7131,"Although she had initially planned on completing a ballad that she had begun writing with Epworth more than a year ago , the producer suggested that she aim for a more aggressive sound .","['Although', 'she', 'had', 'initially', 'planned', 'on', 'completing', 'a', 'ballad', 'that', 'she', 'had', 'begun', 'writing', 'with', 'Epworth', 'more', 'than', 'a', 'year', 'ago', ',', 'the', 'producer', 'suggested', 'that', 'she', 'aim', 'for', 'a', 'more', 'aggressive', 'sound', '.']",producer,she,23,26,female,-1,3,3,wikipedia,4
7132,The lawyer warns her that she is under oath and can be charged with perjury .,"['The', 'lawyer', 'warns', 'her', 'that', 'she', 'is', 'under', 'oath', 'and', 'can', 'be', 'charged', 'with', 'perjury', '.']",lawyer,she,1,5,female,-1,4,2,wikipedia,4
7133,"After her hiatus , her vocal coach , Giuseppe Boghetti , entered her in a contest where Marian won , beating about 300 other contestants .","['After', 'her', 'hiatus', ',', 'her', 'vocal', 'coach', ',', 'Giuseppe', 'Boghetti', ',', 'entered', 'her', 'in', 'a', 'contest', 'where', 'Marian', 'won', ',', 'beating', 'about', '300', 'other', 'contestants', '.']",coach,her,6,1,female,-1,5,3,wikipedia,14
7134,He was a physician and 28 years her senior .,"['He', 'was', 'a', 'physician', 'and', '28', 'years', 'her', 'senior', '.']",physician,her,3,7,female,-1,4,2,wikipedia,20
7135,"In August that year , the communications director for Idaho 's Department of Education , Melissa McGrath , edited the article on her boss , Tom Luna .","['In', 'August', 'that', 'year', ',', 'the', 'communications', 'director', 'for', 'Idaho', ""'s"", 'Department', 'of', 'Education', ',', 'Melissa', 'McGrath', ',', 'edited', 'the', 'article', 'on', 'her', 'boss', ',', 'Tom', 'Luna', '.']",director,her,7,22,female,-1,15,1,wikipedia,14
7136,"Her captain , Lieutenant Commander John W. Bonner , RCNR and 8 other crew were killed out of her crew of 64 .","['Her', 'captain', ',', 'Lieutenant', 'Commander', 'John', 'W.', 'Bonner', ',', 'RCNR', 'and', '8', 'other', 'crew', 'were', 'killed', 'out', 'of', 'her', 'crew', 'of', '64', '.']",captain,her,1,18,female,-1,17,2,wikipedia,1
7137,"A small - scale farmer herself , Deatrick co - founded the Michigan Small Farm Council to advocate for small farming operations across the state .","['A', 'small', '-', 'scale', 'farmer', 'herself', ',', 'Deatrick', 'co', '-', 'founded', 'the', 'Michigan', 'Small', 'Farm', 'Council', 'to', 'advocate', 'for', 'small', 'farming', 'operations', 'across', 'the', 'state', '.']",farmer,herself,4,5,female,-1,1,1,wikipedia,10
7138,Walmart truck driver Gary Lewellen extinguished the fire in her car during the accident .,"['Walmart', 'truck', 'driver', 'Gary', 'Lewellen', 'extinguished', 'the', 'fire', 'in', 'her', 'car', 'during', 'the', 'accident', '.']",driver,her,2,9,female,-1,7,1,wikipedia,15
7139,"Jennifer Morgan is a young painter , who has secluded herself from the world since being raped two years earlier .","['Jennifer', 'Morgan', 'is', 'a', 'young', 'painter', ',', 'who', 'has', 'secluded', 'herself', 'from', 'the', 'world', 'since', 'being', 'raped', 'two', 'years', 'earlier', '.']",painter,herself,5,10,female,-1,5,1,wikipedia,3
